id;nombre;descripcion;tipo;mutual_id
1;mallard duh ;utilized where;INOS;1
2;since molass;cautious;INOS;2
3;petal;deploy appertain incidentally;INOS;3
4;guzzle;pish next;INOS;4
5;secrecy;pfft;NBU;5
6;clueless;necklace amnesty yawningly;NBU;6
7;steeple yest;closely;INOS;7
8;release;how yippee duh;NBU;8
9;provided mid;heating ew;INOS;9
10;miserable ha;altruistic generally twin;NBU;10
11;stable suppo;caption sharply;INOS;11
12;till seldom;inventory above around;NBU;12
13;gullible in ;mid validity;NBU;13
14;restfully in;important whale to;NBU;14
15;solemnly aga;second-hand lowball;INOS;15
16;inasmuch sin;brr besides;NBU;16
17;mesh gadzook;over spring;NBU;17
18;behest;deed through;NBU;18
19;plain interm;instead towards publicity;INOS;19
20;anxiously be;shoot yowza if;INOS;20
21;marathon;zowie content round;NBU;21
22;when;aha;NBU;22
23;hotfoot;versus atop;INOS;23
24;brief pro go;ouch;INOS;24
25;yuck libel a;blah;NBU;25
26;messy design;bah punctually;NBU;26
27;gee;lasting dearest drat;NBU;27
28;godfather mo;rust;INOS;28
29;for edible;humble;INOS;29
30;concerning;since;NBU;30
