id;nombre;periodo;estado;descripcion;tipo_iva;plan_id
1;director politely until;2023-12-10;FP_GENERADO;mmm;RESP_NO_INSCRIPTO;1
2;chiffonier since bourgeoisie;2023-12-10;EN_CARGA;justly as;RESP_INSCRIPTO;2
3;behind;2023-12-10;FP_GENERADO;hourly likewise airmail;RESP_NO_INSCRIPTO;3
4;rarely;2023-12-10;LIQUIDADA_A_SOCIOS;while boohoo ha;RESP_INSCRIPTO;4
5;colorfully sweetly often;2023-12-10;LIQUIDADA_A_SOCIOS;while stay;RESP_INSCRIPTO;5
6;gah asset;2023-12-10;LIQUIDADA_A_SOCIOS;when oddly;RESP_INSCRIPTO;6
7;woot redress;2023-12-10;ARCHIVADO;carnival;RESP_INSCRIPTO;7
8;scar lend;2023-12-10;LIQUIDADA_A_SOCIOS;out circa of;RESP_NO_INSCRIPTO;8
9;nervously;2023-12-10;PAGO_MUTUAL;lest given;RESP_NO_INSCRIPTO;9
10;impossible;2023-12-10;FACTURADO;drat fooey cone;RESP_NO_INSCRIPTO;10
11;midst although;2023-12-10;EN_CARGA;among emerge;RESP_INSCRIPTO;11
12;preheat front;2023-12-10;PAGO_MUTUAL;amongst;RESP_INSCRIPTO;12
13;as than;2023-12-10;LIQUIDADA_A_SOCIOS;boo;RESP_INSCRIPTO;13
14;minion ack;2023-12-10;ARCHIVADO;kindly;RESP_NO_INSCRIPTO;14
15;too readily;2023-12-10;LIQUIDADA_A_SOCIOS;unless;RESP_INSCRIPTO;15
16;yuck wear efface;2023-12-10;LIQUIDADA_A_SOCIOS;why portly oof;RESP_INSCRIPTO;16
17;dusk yippee ride;2023-12-10;ARCHIVADO;beneath attend woot;RESP_NO_INSCRIPTO;17
18;wherever terrorise;2023-12-10;EN_CARGA;duh gosh fleck;RESP_NO_INSCRIPTO;18
19;promptly oof;2023-12-10;FACTURADO;pro far-flung;RESP_INSCRIPTO;19
20;hungrily;2023-12-10;PAGO_MUTUAL;relaunch meanwhile;RESP_INSCRIPTO;20
21;astride barring judgementally;2023-12-10;PAGO_MUTUAL;even;RESP_INSCRIPTO;21
22;unbearably simple;2023-12-10;ARCHIVADO;monthly;RESP_INSCRIPTO;22
23;boohoo gadzooks;2023-12-10;LIQUIDADA_A_SOCIOS;assist;RESP_NO_INSCRIPTO;23
24;lest whenever;2023-12-10;PAGO_MUTUAL;continually yellow exalt;RESP_INSCRIPTO;24
25;psst until ha;2023-12-10;PAGO_MUTUAL;phew afore;RESP_NO_INSCRIPTO;25
26;mozzarella fluctuate silky;2023-12-10;ARCHIVADO;catalyst whenever;RESP_INSCRIPTO;26
27;pressure atop;2023-12-10;LIQUIDADA_A_SOCIOS;uh-huh lamp;RESP_NO_INSCRIPTO;27
28;finally whoa;2023-12-10;EN_CARGA;sometimes procrastinate granular;RESP_NO_INSCRIPTO;28
29;following nervous majestically;2023-12-10;FP_GENERADO;weird well-off;RESP_NO_INSCRIPTO;29
30;lanky likewise actually;2023-12-10;FACTURADO;shudder apropos;RESP_INSCRIPTO;30
