id;categoria;etiqueta_reporte;prestaciones_importadas;mutual_id
1;shyly;after c;true;1
2;enchant;likable;true;2
3;reboot ;aw;true;3
4;switch ;premedi;true;4
5;leading;pillbox;true;5
6;hmph no;meh dad;false;6
7;zowie;quantif;false;7
8;optimal;satiriz;false;8
9;by meh;safely;false;9
10;stake k;cute af;true;10
11;toward ;deep ex;false;11
12;cinder;smuggle;true;12
13;outfit ;dally s;true;13
14;drug;account;false;14
15;educate;near;true;15
16;aged or;unearth;false;16
17;sidetra;so acco;false;17
18;filthy;bah pho;false;18
19;preheat;goose a;true;19
20;through;amid as;false;20
21;concret;loyalty;true;21
22;marketp;joyous;true;22
23;reposse;outrun;true;23
24;or;fooey a;true;24
25;legal u;who;false;25
26;whoever;so bris;true;26
27;divert ;front;true;27
28;clean g;for;true;28
29;volumin;pfft bl;false;29
30;absent ;inside ;true;30
