id;cantidad;pvalor;prestacion_id;orden_id
1;5833;6662.39;1;1
2;19524;1897.75;2;2
3;8004;14481.74;3;3
4;17627;27561.87;4;4
5;989;26650.34;5;5
6;1480;15309.68;6;6
7;21396;16429.69;7;7
8;27755;6525.95;8;8
9;8532;12658.13;9;9
10;26091;19480.13;10;10
11;30310;13.66;11;11
12;15824;19880.63;12;12
13;1777;3444.38;13;13
14;4415;15304.82;14;14
15;26913;841.61;15;15
16;19029;18040.93;16;16
17;20530;31307.46;17;17
18;15930;5615.88;18;18
19;28864;17983.92;19;19
20;24474;1574.08;20;20
21;28388;16344.38;21;21
22;32235;3945.01;22;22
23;1737;31246.81;23;23
24;5596;1296.93;24;24
25;19256;5372.09;25;25
26;29374;23037.91;26;26
27;22436;24865.51;27;27
28;27850;25669.67;28;28
29;23077;6424.89;29;29
30;19868;21253.84;30;30
