id;codigo;codigo_inos;valor_ub;req_autorizacion;nomenclador_id
1;2297;leading lest;32621.97;false;1
2;15864;odd nor;15038.66;false;2
3;22072;faithfully next;6096.58;true;3
4;5917;meh;23173.17;false;4
5;19837;searchingly bah;8491.41;true;5
6;2414;easily including;17579.31;true;6
7;13585;gratefully;9851.58;false;7
8;25984;along unless;7194.75;true;8
9;17122;replicate duh;24611.06;true;9
10;32662;optimistically slide optimistic;15593.68;true;10
11;28278;near hm grade;6561.42;false;11
12;16451;phew during;5284.45;true;12
13;5086;curse oh;19238.57;true;13
14;30033;knottily hmph;19931;true;14
15;2381;meadow;12409.82;false;15
16;18728;absent if alongside;7086.73;false;16
17;20095;jeopardise nimble;17940.53;true;17
18;9841;amidst meh;27853.6;true;18
19;16141;everlasting;6369.6;true;19
20;19745;uniform;31626.26;false;20
21;26152;ouch dramatize whenever;32332.59;false;21
22;14835;tame while;23992.9;false;22
23;5854;morbidity;11615.85;false;23
24;22673;finally;16302.57;false;24
25;31169;favorable honestly incomplete;32546.24;false;25
26;8781;agitated ack internalise;30174.19;false;26
27;28357;cleverly;15837.42;false;27
28;12276;stock phew;26994.23;false;28
29;32044;gosh scaffold curse;22571.73;true;29
30;15998;whispered shakily;3303.3;true;30
